,Migrant remittance outflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
103,Kuwait,,,,,,276.0,315.0,370.0,433.0,532.0,692.0,689.0,875.0,865.0,963.0,1040.0,1080.0,1100.0,1180.0,1280.0,770.0,426.0,829.0,1230.0,1330.0,1350.0,1380.0,1380.0,1610.0,1730.0,1730.0,1790.0,1930.0,2140.0,2400.0,2647.60274,3183.238048,9763.770985,10322.571366,11749.2128915,11864.0039733,13012.2060297,15459.199374299998,17711.480681200002,18128.47635,15202.535984,15285.864864
104,Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,108.654,66.378,41.086,32.75,28.56,49.787836,51.088572,45.348644,54.5341728,57.3836231,55.239593,82.958212,53.27542603,68.11350262,90.49543238,100.55942825,107.49610647,167.72000359,227.62148445,285.90818773,389.51259583999996,453.94229596,362.554954,377.553225
105,Lao PDR,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.5,8.9,10.3,7.3,6.7,0.4,0.44,0.46305,0.4862025,0.99671513,0.8,0.84,5.410944,6.0,9.36074582,22.370007920000003,19.31493266,75.64311906,70.17568928,68.70400084,54.16530636,43.3380705,39.476133
106,Latvia,,,,,,,,,,,,,,,,,,,,,,,0.22403,0.354,2.088,1.238,2.168,4.6,7.7,7.6,6.6,7.6,7.6,8.3,13.1,491.41360751999997,892.12013345,1117.69655515,913.37444436,672.83412255,442.99800786000003,559.20942037,569.17808955,607.52147665,569.87502534,494.501716,415.535256
107,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.93,4077.0,4230.0,4011.6750546999997,3445.1488214,2961.9,4365.96,5749.15402,4390.475746,4227.1958135,4698.442225600001,5193.3781438999995,4382.9437828,3674.947392,3680.344
108,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,75.360114,60.481624,56.305054,55.623933,34.06038,10.3183,9.5549505,7.9674206,10.110386,11.025073,,,,,,,,,,,,
109,Liberia,,,,,,,,,,34.99999,31.999991,32.999991,74.999979,125.999966,120.899967,102.399972,136.199962,125.899965,,,,,,,,,,,,,,,,,0.17617141,0.1937885467,0.2131672915,0.2552202574,0.4806634,1.008165606,1.141631291,0.779400122,471.1,435.1075,309.83164122,299.292077,
110,Libya,,,,,,,,840.0,932.0,832.0,1050.0,1530.0,1580.0,2030.0,1240.0,859.0,490.0,466.0,497.0,472.0,446.0,409.0,394.0,324.0,283.0,222.0,272.0,192.0,208.0,213.0,463.0,683.0,786.0,676.0,975.0,914.0,945.0,762.2,964.2,1361.0,1609.0,650.0,1971.0,3199.3,,,
111,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,0.090194274,0.59312899,0.9675,33.075,58.1075,63.3,46.635,38.125,29.425,31.2770595,41.935039700000004,27.580347800000002,259.03701535,425.78695229000004,566.92039538,652.1805673,679.263672,552.46601185,1025.598206,1135.009182,851.9182999,904.5775863,588.850368,583.722952
113,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,2220.0,2300.0,2220.0,2460.0,2700.0,2720.0,3140.0,3952.594727,5010.598164,6002.0781971999995,6699.46431887,7560.82651072,9370.176217799999,11006.381625799999,10724.950984,10644.5478162,11720.3497441,11268.7347509,12274.2484551,12762.5554383,11351.411728,11605.645296
114,"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.290681,118.60758,159.916826,207.4643117,476.4013216,823.2461502000001,936.2985144,666.6597085,539.4361562,653.6396639,853.279158,1061.0349,1347.8327639000001,1569.111984,
115,"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.38,20.661702,11.999652,14.208225,20.520593,23.26515,16.067713,16.158268,15.545106,17.848735,24.875466,32.975259,26.302033,22.61197,24.69225,23.859882,24.438824,23.991042,19.890647,24.250401
116,Madagascar,,,,,20.3154292,37.328740200000006,34.7353607,26.009575780000002,27.38694,26.32558364,31.238351690000002,23.331948079999997,20.10088604,12.19656166,10.64784506,14.43067894,16.30834535,11.90594954,13.844010560000001,13.458584929999999,17.501629,9.99259,9.436864,6.69877587,8.447069860000001,11.07690571,13.2102129,15.1250691,13.0003345,11.213005220000001,11.903986699999999,11.415636,4.7145389,17.9245874,9.001433899999999,18.548127028,17.343550527,19.186871380000003,22.987629675999997,29.909032411,34.522200151,46.037994558,54.03508291000001,50.03771693,,46.511366,36.863408
117,Malawi,,,,,,,,,0.11851921,0.12241731,0.2462764,0.22338904,0.18948203,0.085123528,0.21225714,0.11634016999999999,0.053732434,0.045274629999999996,0.23425597,0.39861945,0.036645048,0.035672084,0.13876264000000002,0.13627759,0.58376415,0.80477675,1.1758198999999998,0.99670552,1.4089546000000002,0.82108246,0.42487662,0.6230146999999999,0.44816169,7.164153969,7.49291692,7.336591798600001,7.338131132300001,10.185964835999998,10.385511249,13.316856979,14.907703192,17.450294771,17.793284002,16.45277993,18.55205532,17.4945485,
118,Malaysia,,,,,4.5698776,4.5952363,5.9018522,10.563595,19.429702,12.337546,18.834266,16.926165,15.414973,14.647281,14.507337,12.88742,21.305924,130.971178,182.660364,183.850868,229.691668,205.271484,226.648528,299.186333,187.546902,1331.0,1423.0,2077.0,2928.0,484.0,599.0,634.0,3825.0,3461.0,5060.0,5679.210083,5596.604811,6388.47968,6785.527868,6528.552508,6728.510481,6945.697144,7266.908215,7669.912517,8051.53478,3077.376,2944.213504
119,Maldives,,,,,,,,,,,0.2,0.3,1.3,2.0,3.4,2.0,3.0431388,3.6651437999999996,5.871822,5.9994558,8.219088,17.141988,19.3,26.81104,22.46345,26.774476800000002,27.462499,28.14555164,30.808433960000002,40.88138322,46.35224368,49.963192,50.617855,55.320628,61.507567,69.910462,83.551366,188.8245,218.6973,190.1529,189.3845619,239.9101201,259.86175019999996,265.58466883999995,301.42644972,348.365179375,379.22603675
